Filename,Touches
README.md,40
rootbeerlib/src/main/res/values/strings.xml,2
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,53
rootbeerlib/src/main/jni/Android.mk,5
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,23
gradle-mvn-push.gradle,1
rootbeerlib/build.gradle,27
app/build.gradle,21
art/RootBeer-tv-graphic.png,1
art/tv-1.png,1
art/tv-2.png,1
art/tv-3.png,1
app/src/main/AndroidManifest.xml,9
app/src/main/res/layout/activity_main.xml,14
build.gradle,23
gradle.properties,12
.circleci/config.yml,6
art/sticker.png,2
changes.md,5
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,12
rootbeerlib/src/main/jniLibs/arm64-v8a/libtool-checker.so,11
rootbeerlib/src/main/jniLibs/armeabi-v7a/libtool-checker.so,17
rootbeerlib/src/main/jniLibs/x86/libtool-checker.so,15
rootbeerlib/src/main/jniLibs/x86_64/libtool-checker.so,11
.gitattributes,2
.gitignore,15
app/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,6
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,10
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,13
app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,6
app/src/main/res/values/styles.xml,4
gradle/wrapper/gradle-wrapper.jar,5
rootbeerlib/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,6
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,12
gradle/wrapper/gradle-wrapper.properties,13
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,8
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,4
app/libs/armeabi/libtool-checker.so,3
rootbeerlib/src/main/jni/Application.mk,7
rootbeerlib/src/main/jniLibs/armeabi/libtool-checker.so,12
rootbeerlib/src/main/jniLibs/mips/libtool-checker.so,12
rootbeerlib/src/main/jniLibs/mips64/libtool-checker.so,8
LICENSE,4
app/.gitignore,3
app/app.iml,14
app/proguard-rules.pro,3
app/src/main/res/layout/content_main.xml,5
app/src/main/res/values/attrs.xml,3
app/src/main/res/values/strings.xml,6
gradlew,3
gradlew.bat,3
rootbeer.iml,7
rootbeerlib/.gitignore,6
rootbeerlib/gradle.properties,3
rootbeerlib/proguard-rules.pro,3
rootbeerlib/rootbeerlib.iml,12
rootbeerlib/src/main/jni/toolChecker.cpp,5
rootbeerlib/src/main/jni/toolChecker.h,4
rootbeerlib/jni/build.sh,8
rootbeerlib/libs/arm64-v8a/libtool-checker.so,3
rootbeerlib/libs/armeabi-v7a/libtool-checker.so,3
rootbeerlib/libs/armeabi/libtool-checker.so,6
rootbeerlib/libs/mips/libtool-checker.so,3
rootbeerlib/libs/mips64/libtool-checker.so,3
rootbeerlib/libs/x86/libtool-checker.so,3
rootbeerlib/libs/x86_64/libtool-checker.so,3
rootbeerlib/obj/local/armeabi/libstdc++.a,3
rootbeerlib/obj/local/armeabi/libtool-checker.so,4
rootbeerlib/obj/local/armeabi/objs/tool-checker/toolChecker.o,4
rootbeerlib/obj/local/armeabi/objs/tool-checker/toolChecker.o.d,4
